,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
26,stations,{'all': 100},200,"{'lon': 168.86, 'lat': -46.19}",1547397763.0,6201424.0,"{'temp': 283.176, 'pressure': 1010.57, 'humidity': 88, 'temp_min': 283.176, 'temp_max': 283.176, 'sea_level': 1025.76, 'grnd_level': 1010.57}",,Mataura,,,"{'message': 0.0036000000000000003, 'country': 'NZ', 'sunrise': 1547313028, 'sunset': 1547368523}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 3.11, 'deg': 259.503}"
27,stations,{'all': 90},200,"{'lon': -97.86, 'lat': 55.74}",1547395200.0,6165406.0,"{'temp': 265.15, 'pressure': 1019, 'humidity': 92, 'temp_min': 265.15, 'temp_max': 265.15}",,Thompson,,,"{'type': 1, 'id': 935, 'message': 0.0033, 'country': 'CA', 'sunrise': 1547391157, 'sunset': 1547418515}",24140.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]","{'speed': 4.6, 'deg': 300}"
28,stations,{'all': 20},200,"{'lon': 27.91, 'lat': -33.02}",1547395200.0,1006984.0,"{'temp': 297.15, 'pressure': 1012, 'humidity': 60, 'temp_min': 297.15, 'temp_max': 297.15}",,East London,,,"{'type': 1, 'id': 1912, 'message': 0.0044, 'country': 'ZA', 'sunrise': 1547349213, 'sunset': 1547400028}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 5.1, 'deg': 200}"
29,stations,{'all': 76},200,"{'lon': 167.72, 'lat': -45.41}",1547397638.0,2181625.0,"{'temp': 280.276, 'pressure': 961.28, 'humidity': 97, 'temp_min': 280.276, 'temp_max': 280.276, 'sea_level': 1026.21, 'grnd_level': 961.28}",,Te Anau,{'3h': 0.1675},,"{'message': 0.0038, 'country': 'NZ', 'sunrise': 1547313475, 'sunset': 1547368625}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 0.86, 'deg': 125.003}"
30,stations,{'all': 92},200,"{'lon': 115.51, 'lat': -2.54}",1547397764.0,1641899.0,"{'temp': 295.351, 'pressure': 997.03, 'humidity': 97, 'temp_min': 295.351, 'temp_max': 295.351, 'sea_level': 1022.76, 'grnd_level': 997.03}",,Labuhan,{'3h': 4.615},,"{'message': 0.0037, 'country': 'ID', 'sunrise': 1547331540, 'sunset': 1547375660}",,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 0.61, 'deg': 243.003}"
31,stations,{'all': 1},200,"{'lon': -121.92, 'lat': 36.62}",1547396100.0,5380437.0,"{'temp': 278.89, 'pressure': 1016, 'humidity': 85, 'temp_min': 276.15, 'temp_max': 280.35}",,Pacific Grove,,,"{'type': 1, 'id': 4980, 'message': 0.0037, 'country': 'US', 'sunrise': 1547392765, 'sunset': 1547428448}",16093.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]","{'speed': 4.1, 'deg': 70}"
32,stations,{'all': 20},200,"{'lon': 1.37, 'lat': 42.87}",1547395200.0,3036965.0,"{'temp': 286.15, 'pressure': 1021, 'humidity': 73, 'temp_min': 286.15, 'temp_max': 286.15}",,Le Port,,,"{'type': 1, 'id': 6426, 'message': 0.0181, 'country': 'FR', 'sunrise': 1547364201, 'sunset': 1547397820}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 3.1, 'deg': 340}"
33,stations,{'all': 75},200,"{'lon': -122.33, 'lat': 49.05}",1547396100.0,5881791.0,"{'temp': 275.72, 'pressure': 1022, 'humidity': 93, 'temp_min': 272.05, 'temp_max': 279.15}",,Abbotsford,,,"{'type': 1, 'id': 982, 'message': 0.0046, 'country': 'CA', 'sunrise': 1547395146, 'sunset': 1547426270}",48279.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}]",{'speed': 1}
34,stations,{'all': 76},200,"{'lon': 19.77, 'lat': -17.91}",1547397765.0,3353383.0,"{'temp': 303.026, 'pressure': 897, 'humidity': 39, 'temp_min': 303.026, 'temp_max': 303.026, 'sea_level': 1016.89, 'grnd_level': 897}",,Rundu,,,"{'message': 0.004200000000000001, 'country': 'NA', 'sunrise': 1547353003, 'sunset': 1547400157}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 1.06, 'deg': 345.503}"
35,stations,{'all': 90},200,"{'lon': -159.32, 'lat': 22.08}",1547394960.0,5848280.0,"{'temp': 293.33, 'pressure': 1017, 'humidity': 81, 'temp_min': 292.55, 'temp_max': 294.25}",,Kapaa,,,"{'type': 1, 'id': 7873, 'message': 0.004, 'country': 'US', 'sunrise': 1547399923, 'sunset': 1547439239}",16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.6, 'deg': 240}"
